TIMESTAMPms	M202RAWIMUxacc	M202RAWIMUxmag	M202RAWIMUyacc	M202RAWIMUymag	M202RAWIMUzacc	M202RAWIMUzmag
180588	1216	-716	192	34	-3456	-232
180688	512	-619	192	43	-3520	-164
180788	-256	-560	128	47	-3648	-129
180888	-1152	-420	192	55	-3456	-85
180984	-2048	-350	192	61	-3072	-80
181092	-2880	-193	192	69	-2432	-97
181192	-3520	-128	128	76	-1792	-117
181292	-3904	-18	256	78	-1088	-180
181392	-4096	32	192	79	-256	-218
181488	-4160	113	256	83	512	-320
181588	-4096	158	256	83	1472	-440
181688	-3840	160	256	55	2240	-537
181788	-3392	155	320	78	2752	-598
181888	-2880	139	256	78	3392	-645
182008	-2112	96	320	-13	3840	-766
182088	-1536	55	256	68	4096	-790
182188	-832	-31	384	66	4224	-868
182288	0	-89	192	61	4416	-893
182388	768	-209	192	55	4288	-938
182488	1472	-264	128	52	4096	-947
182588	2240	-387	192	43	3712	-959
182688	2816	-447	192	41	3328	-943
182788	3264	-537	192	40	2752	-915
182888	3584	-579	256	35	2368	-905
182984	3840	-655	256	-8	1792	-870
183092	4032	-728	128	23	1216	-789
183192	4096	-764	128	24	576	-744
183284	3968	-812	192	27	-320	-646
183392	3776	-825	192	22	-1088	-602
183488	3584	-834	128	24	-1408	-521
183588	3264	-833	192	29	-1984	-481
183688	2816	-815	128	27	-2560	-399
183784	2432	-797	192	29	-2816	-359
183888	1856	-754	192	32	-3136	-282
184000	1152	-682	128	1	-3392	-229
184088	512	-652	-64	41	-3456	-180
184188	0	-621	64	38	-3648	-160
184288	-320	-566	192	48	-3520	-131
184388	-640	-539	128	48	-3520	-119
184488	-832	-532	64	50	-3648	-115
184588	-896	-533	128	51	-3520	-117
184688	-896	-535	192	51	-3520	-118
184788	-768	-545	192	51	-3520	-122
184888	-768	-546	64	47	-3392	-122
184984	-768	-547	128	51	-3584	-122
185084	-768	-543	192	53	-3520	-126
185184	-704	-540	128	54	-3456	-119
185284	-768	-543	128	47	-3520	-119
185384	-768	-542	128	50	-3520	-120
185484	-768	-546	192	48	-3584	-125
185592	-832	-531	128	47	-3456	-116
185692	-896	-537	128	53	-3584	-119
185792	-768	-531	128	52	-3520	-121
185892	-832	-530	128	53	-3520	-115
185984	-768	-544	64	49	-3456	-120
186084	-640	-551	128	51	-3584	-123
186192	-704	-551	128	10	-3584	-147
186292	-704	-553	64	37	-3520	-124
186384	-640	-555	128	37	-3584	-124
186488	-704	-559	128	30	-3584	-128
186588	-512	-554	128	23	-3584	-123
186688	-704	-551	64	14	-3520	-122
186788	-768	-543	64	11	-3584	-118
186888	-768	-545	64	15	-3520	-120
186984	-832	-539	0	12	-3520	-116
187088	-768	-538	0	12	-3456	-117
187188	-768	-539	0	10	-3520	-116
187288	-704	-536	64	5	-3520	-118
187388	-768	-533	64	9	-3520	-114
187488	-704	-537	64	8	-3520	-118
187588	-896	-534	0	10	-3456	-112
187688	-832	-528	64	-9	-3520	-109
187788	-896	-526	0	11	-3520	-111
187888	-960	-526	0	8	-3520	-112
187984	-1024	-517	0	13	-3520	-108
188088	-960	-518	64	26	-3520	-110
188188	-896	-530	64	3	-3520	-116
188288	-768	-533	0	7	-3520	-114
188388	-832	-522	64	12	-3520	-119
188488	-960	-510	0	13	-3520	-108
188588	-1024	-514	-64	9	-3392	-108
188688	-960	-505	-64	12	-3392	-105
188788	-1088	-499	0	17	-3520	-105
188888	-1152	-481	-64	19	-3392	-98
188984	-1344	-451	-64	28	-3328	-84
189088	-1664	-391	-64	44	-3200	-87
189188	-2112	-350	-128	56	-3008	-95
189288	-2432	-273	-256	75	-2560	-85
189388	-3008	-223	-320	89	-2304	-95
189488	-3328	-130	-384	76	-1920	-172
189588	-3712	-88	-448	120	-1344	-140
189688	-3968	6	-448	147	-704	-202
189788	-4032	29	-512	153	-128	-236
189888	-4032	100	-512	165	640	-318
189984	-4032	115	-512	173	1152	-359
190088	-3840	147	-512	180	1984	-467
190188	-3456	155	-448	178	2688	-567
190288	-3072	148	-320	174	3136	-595
190388	-2752	126	-192	172	3456	-664
190488	-2240	107	-128	130	3776	-730
190588	-1664	44	0	146	4096	-791
190688	-896	0	64	136	4352	-835
190788	-128	-116	192	111	4480	-904
190888	768	-169	448	93	4224	-925
190984	1408	-288	448	64	4096	-951
191088	2048	-340	576	46	3776	-957
191188	2688	-455	704	24	3328	-940
191288	3136	-536	768	-1	2880	-918
191388	3392	-581	832	-9	2496	-896
191488	3776	-682	896	-32	1792	-836
191588	3968	-716	960	-42	1024	-799
191688	4032	-759	960	-52	384	-740
191788	4032	-785	960	-62	0	-703
191888	3840	-824	896	-65	-704	-608
191984	3584	-823	896	-66	-1280	-586
192092	3520	-833	768	-67	-1536	-502
192192	3008	-822	704	-73	-2176	-441
192292	2304	-792	640	-58	-2816	-341
192384	1920	-774	576	-54	-3072	-322
192492	1408	-727	448	-35	-3264	-270
192592	896	-674	384	-27	-3456	-192
192692	384	-634	320	-20	-3584	-173
192784	0	-570	256	0	-3584	-131
192892	-576	-533	128	1	-3520	-114
192984	-1152	-450	-64	-5	-3392	-114
193084	-1664	-402	0	38	-3200	-89
193184	-2176	-306	-192	62	-2944	-80
193284	-2752	-254	-256	81	-2560	-85
193384	-3200	-154	-320	104	-2048	-117
193488	-3520	-107	-384	89	-1536	-151
193588	-3904	-28	-448	135	-1024	-176
193688	-4032	0	-512	143	-448	-206
193788	-4096	60	-448	157	64	-263
193888	-4096	88	-512	165	576	-297
193984	-4096	137	-512	174	1216	-393
194092	-3840	154	-384	177	1920	-499
194192	-3456	153	-384	175	2688	-551
194292	-2944	132	-256	167	3264	-654
194392	-2368	110	-64	162	3776	-698
194488	-1728	43	-64	147	4032	-797
194584	-1024	15	64	141	4224	-828
194684	-512	-49	128	124	4416	-868
194788	0	-106	192	109	4416	-899
194884	896	-233	384	77	4288	-942
195008	1856	-348	512	8	3968	-1000
195088	2368	-415	640	27	3648	-949
195188	2880	-464	832	20	3136	-938
195288	3264	-565	832	-5	2560	-906
195388	3712	-650	832	-27	1984	-852
195488	3904	-686	896	-39	1408	-826
